college_code,branch_code,community,college_enc,branch_enc,community_enc,cutoff_trend,hist_closing,hist_opening,hist_mean,hist_count,last_closing,last_year
1422,IT,BCM,72,57,1,-5.5625,185.01,185.97,186.63,4.0,179.5,2023.0
1211,EC,MBC,25,34,2,-0.3232,182.55,190.47,185.35,86.0,182.5,2024.0
2618,EC,BC,129,34,0,-2.3636,182.57,191.89,184.93,20.0,179.5,2024.0
1399,IT,BCM,58,57,1,0.2285,189.56,191.31,190.6,9.0,190.0,2024.0
3826,CS,BC,233,29,0,-3.1678,182.69,187.69,184.86,16.0,179.5,2024.0
1216,AD,BC,26,0,0,0.285,182.0,191.04,183.35,56.0,179.0,2024.0
2718,IT,BCM,169,57,1,-0.1118,184.97,189.35,187.47,21.0,185.5,2024.0
5008,MG,MBC,299,67,2,-1.9432,183.42,188.96,185.3,24.0,181.5,2024.0
2710,AD,MBC,163,0,2,1.666,185.52,194.47,188.78,46.0,186.5,2024.0
1219,EC,BCM,29,34,1,-1.8456,182.93,186.89,185.27,10.0,183.0,2024.0
1422,IT,BC,72,57,0,-4.049,181.95,186.43,181.32,16.0,180.0,2024.0
1120,CS,MBC,12,29,2,-1.0938,181.31,189.0,184.86,13.0,180.5,2024.0
1504,CS,BC,86,29,0,-2.7524,181.87,186.3,183.05,11.0,180.0,2024.0
2704,CS,MBC,158,29,2,1.6857,185.38,185.38,185.38,4.0,181.0,2024.0
1419,CJ,OC,69,23,5,-3.305,184.8,184.8,184.8,3.0,179.5,2023.0
2007,EY,MBC,100,44,2,2.9982,187.27,190.35,188.82,33.0,189.5,2024.0
5,IT,BC,298,57,0,-2.074,183.79,185.23,184.93,13.0,179.5,2024.0
5,CS,BC,298,29,0,-0.9527,183.46,190.18,186.0,22.0,180.0,2024.0
1419,CJ,BC,69,23,0,-4.75,183.28,189.44,183.57,10.0,177.5,2023.0
2718,IT,MBC,169,57,2,-0.4924,186.35,190.8,187.49,99.0,186.0,2024.0
2735,CS,MBC,180,29,2,-0.5251,182.44,186.78,182.8,16.0,180.0,2024.0
2722,IT,BC,172,57,0,-2.2908,180.71,189.19,182.65,171.0,179.0,2024.0
2751,AD,BCM,191,0,1,-0.101,183.86,190.53,186.76,6.0,182.0,2024.0
1,MI,OC,0,68,5,1.75,189.62,189.62,189.62,2.0,190.5,2022.0
1317,AD,BC,51,0,0,-2.665,180.8,189.68,183.29,67.0,179.0,2024.0
2764,CS,MBC,199,29,2,0.9072,182.54,192.45,185.31,59.0,183.0,2024.0
2661,CS,BC,154,29,0,-0.3732,187.43,189.95,188.61,5.0,189.0,2023.0
2702,FD,BC,157,45,0,-4.3915,182.53,185.2,186.3,7.0,178.0,2023.0
1432,CS,OC,78,29,5,0.5444,189.46,191.82,190.59,14.0,189.0,2024.0
4023,IT,BC,250,57,0,-1.7811,185.11,190.03,185.65,10.0,188.5,2024.0
1432,AD,OC,78,0,5,1.3491,189.7,192.11,190.56,6.0,188.67,2024.0
2709,IT,BC,162,57,0,-1.1105,182.02,190.9,185.58,56.0,181.0,2024.0
5,AM,MBC,298,4,2,-1.6712,184.87,187.33,185.27,6.0,184.5,2024.0
2603,EC,BC,119,34,0,-1.0178,180.83,187.74,182.39,35.0,179.0,2024.0
1432,CS,BCM,78,29,1,-0.2528,185.32,191.52,188.16,23.0,182.0,2024.0
2377,EE,BCM,117,35,1,0.4385,190.36,191.0,190.78,5.0,191.0,2024.0
1113,CB,OC,8,15,5,-1.6717,183.52,187.66,185.62,13.0,183.0,2024.0
1309,CS,MBC,46,29,2,-1.1073,179.88,185.77,183.2,17.0,179.0,2024.0
1422,AD,OC,72,0,5,1.0429,182.58,182.58,182.58,4.0,181.5,2024.0
2739,AD,OC,183,0,5,2.6208,185.77,189.38,188.05,10.0,188.5,2024.0
1211,IT,BCM,25,57,1,-0.2312,186.13,190.61,187.86,16.0,185.0,2024.0
1211,CD,OC,25,17,5,-1.8695,185.37,189.61,187.09,16.0,182.5,2024.0
2708,CS,BC,161,29,0,-0.8654,182.23,191.18,184.82,22.0,180.0,2024.0
1211,CD,BC,25,17,0,-2.129,182.76,186.97,184.35,41.0,181.5,2024.0
1399,ME,OC,58,65,5,0.0383,186.0,189.41,187.42,11.0,186.5,2024.0
2653,CB,BC,152,15,0,-1.7783,184.01,185.03,185.53,5.0,181.5,2024.0
2709,CS,MBC,162,29,2,0.5987,183.88,191.2,187.08,26.0,184.0,2024.0
4980,CS,BC,290,29,0,2.3824,189.15,194.08,192.23,6.0,190.0,2024.0
4670,AG,BC,253,2,0,-5.0,191.5,191.5,191.5,2.0,189.5,2022.0
2653,EC,BC,152,34,0,-2.17,182.68,187.6,184.21,11.0,179.0,2024.0
2764,BM,BC,199,10,0,-1.7066,182.37,187.08,184.32,15.0,179.0,2024.0
4917,CS,BC,260,29,0,0.47,189.67,191.26,190.12,5.0,191.5,2024.0
5,CS,OC,298,29,5,-2.4425,189.2,191.75,190.9,3.0,189.5,2022.0
1399,BM,OC,58,10,5,-0.875,189.5,190.94,190.37,5.0,188.5,2023.0
3830,CB,BC,235,15,0,1.455,188.92,188.92,188.92,2.0,189.5,2022.0
2709,CS,BCM,162,29,1,-2.8,186.11,190.47,186.88,5.0,181.205,2023.0
2712,MZ,MBC,165,76,2,-1.995,182.18,187.18,183.57,10.0,179.0,2024.0
2718,CB,MBC,169,15,2,-1.0952,184.55,187.84,185.38,27.0,183.5,2024.0
2622,EC,OC,132,34,5,-0.855,189.84,189.84,189.84,2.0,189.5,2022.0
2,FS,MBC,97,46,2,1.1914,181.04,191.19,184.59,31.0,180.0,2024.0
1013,EC,BC,1,34,0,2.8214,182.69,187.69,187.05,7.0,181.5,2024.0
2702,CT,BC,157,30,0,-4.2839,182.35,185.51,181.67,17.0,178.5,2023.0
2702,EC,OC,157,34,5,-0.6373,186.51,186.99,186.85,6.0,185.0,2024.0
1317,AL,OC,51,3,5,-4.9504,183.05,185.59,184.32,6.0,179.5,2023.0
1,IM,SCA,0,55,7,0.6771,189.58,190.69,189.92,8.0,191.0,2024.0
2615,EE,OC,127,35,5,3.5833,187.38,187.62,187.92,4.0,188.5,2023.0
3011,EE,BC,203,35,0,-1.929,185.8,187.22,187.33,6.0,183.5,2023.0
2603,CS,MBC,119,29,2,-0.0145,184.5,191.28,186.22,38.0,184.0,2024.0
1,XM,MBC,0,97,2,0.4934,181.31,189.12,184.01,19.0,179.0,2024.0
1432,CB,OC,78,15,5,-1.1475,186.75,188.15,187.02,9.0,185.0,2024.0
1113,CD,BC,8,17,0,-3.1105,182.04,184.04,183.41,13.0,179.5,2024.0
2007,CL,OC,100,24,5,0.225,186.04,186.42,185.72,8.0,186.0,2024.0
2741,CS,BC,185,29,0,2.8333,183.31,183.38,182.5,4.0,181.0,2023.0
2620,BT,BC,130,13,0,3.3333,183.81,185.81,185.43,5.0,185.0,2023.0
1304,BM,BCM,43,10,1,0.0,188.96,188.96,188.96,2.0,188.955,2022.0
5010,CS,BCM,301,29,1,-3.6357,183.92,183.92,183.92,3.0,179.0,2024.0
5901,EC,BCM,314,34,1,-1.109,184.89,186.33,185.61,8.0,185.5,2024.0
2711,CD,BC,164,17,0,-3.5059,181.15,184.4,180.64,37.0,179.0,2024.0
2702,AL,BC,157,3,0,-2.1806,180.8,189.08,181.75,76.0,179.0,2024.0
1432,CO,MBC,78,27,2,-2.6866,181.79,183.99,180.95,16.0,179.5,2024.0
2710,CS,OC,163,29,5,1.8214,187.56,187.56,187.56,3.0,188.0,2023.0
5988,CS,BC,326,29,0,1.0925,187.15,187.83,187.65,3.0,187.355,2022.0
5,IT,BCM,298,57,1,-2.455,189.48,189.48,189.48,2.0,188.5,2022.0
3011,IT,MBC,203,57,2,0.6054,180.08,189.08,183.69,21.0,179.5,2024.0
5904,CS,BC,316,29,0,-3.2612,181.84,184.05,183.24,7.0,181.0,2024.0
1112,CS,MBC,7,29,2,-1.8101,180.71,184.93,180.74,25.0,179.0,2024.0
1432,CO,OC,78,27,5,-1.752,184.5,185.76,185.51,7.0,183.0,2024.0
2709,IT,MBC,162,57,2,-0.5138,182.71,188.69,185.23,32.0,182.0,2024.0
2739,IT,OC,183,57,5,-2.4575,184.93,185.59,186.38,6.0,182.5,2023.0
2739,CO,OC,183,27,5,-1.8685,184.56,184.56,184.56,4.0,183.5,2024.0
2608,CS,MBC,121,29,2,-3.7605,182.03,183.39,182.76,6.0,180.0,2024.0
2712,AE,MBC,165,1,2,2.0912,180.5,189.71,186.03,18.0,181.5,2024.0
2722,IT,OC,172,57,5,-1.109,184.42,185.95,184.48,8.0,181.5,2024.0
4944,EC,BC,268,34,0,-4.4043,181.84,183.84,184.8,13.0,179.5,2024.0
1432,EC,OC,78,34,5,0.2941,187.78,191.11,189.64,7.0,188.0,2023.0
1399,BM,MBC,58,10,2,1.2269,182.3,188.04,185.42,18.0,185.0,2024.0
1202,CS,OC,22,29,5,0.25,187.88,187.88,187.88,2.0,188.0,2022.0
2711,CS,BCM,164,29,1,-1.569,183.2,186.45,184.12,12.0,181.0,2024.0
5008,EE,SC,299,35,6,-1.6216,182.06,184.82,183.13,14.0,179.5,2024.0
2722,CS,BCM,172,29,1,-1.2392,181.73,186.67,183.64,16.0,180.0,2024.0
1450,IT,MBC,83,57,2,-2.1949,182.07,186.96,183.66,19.0,181.0,2024.0
1211,RM,BC,25,88,0,-2.4268,181.57,189.54,183.5,19.0,179.0,2024.0
2702,CB,BC,157,15,0,-2.3302,181.14,187.89,182.59,51.0,179.0,2024.0
2722,CS,MBC,172,29,2,-1.7615,180.68,189.79,182.71,63.0,179.0,2024.0
1112,IT,OC,7,57,5,-3.9275,183.62,184.54,183.29,5.0,178.5,2023.0
2636,CS,BC,142,29,0,-1.5865,183.83,188.33,185.39,4.0,179.5,2024.0
2025,EE,MBC,101,35,2,-0.0267,182.04,183.62,181.59,9.0,182.0,2024.0
1219,MR,BC,29,71,0,0.375,187.85,187.85,187.85,2.0,188.0,2022.0
1412,CS,MBC,65,29,2,0.031,182.12,186.69,183.41,10.0,182.0,2024.0
